v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].subsidies[].operationType	object	Тип операции c баллами, которые используются для уменьшения стоимости размещения
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].subsidies[].type	object	Источник баллов, которые используются для уменьшения стоимости размещения.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].subsidies[].amount	number	Количество баллов, которые используются для уменьшения стоимости размещения, с т
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].currency	object	Валюта, в которой указаны цены в заказе. 
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.paging	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.paging.nextPageToken	string	Идентификатор следующей страницы результатов.
v2_campaigns_campaignId_stats_orders.yaml	REQUEST	dateFrom	string	Начальная дата, когда заказ был сформирован.  Формат даты: `ГГГГ‑ММ‑ДД`.  Нельзя
v2_campaigns_campaignId_stats_orders.yaml	REQUEST	dateTo	string	Конечная дата, когда заказ был сформирован.  Формат даты: `ГГГГ‑ММ‑ДД`.  Нельзя 
v2_campaigns_campaignId_stats_orders.yaml	REQUEST	updateFrom	string	Начальная дата периода, за который были изменения в заказе (например, статуса ил
v2_campaigns_campaignId_stats_orders.yaml	REQUEST	updateTo	string	Конечная дата периода, за который были изменения в заказе (например, статуса или
v2_campaigns_campaignId_stats_orders.yaml	REQUEST	orders[]	array<integer>	Список идентификаторов заказов.
v2_campaigns_campaignId_stats_orders.yaml	REQUEST	statuses[]	array<object>	Список статусов заказов.
v2_campaigns_campaignId_stats_orders.yaml	REQUEST	hasCis	boolean	Фильтр для получения заказов, в которых есть хотя бы один товар с кодом идентифи
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	status	object	
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result	object	
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[]	array<object>	Список товаров.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].shopSku	object	
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].marketSku	object	SKU на Маркете — идентификатор карточки товара на Маркете.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].name	string	Название товара.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].price	number	Цена товара в валюте, которая установлена [в кабинете продавца на Маркете](https
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].categoryId	integer	Идентификатор категории товара на Маркете.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].categoryName	string	Название категории товара на Маркете.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].weightDimensions	object	Информация о весе и габаритах товара. Если товар уже привязан к карточке (`marke
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].weightDimensions.length	number	Длина товара в сантиметрах.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].weightDimensions.width	number	Ширина товара в сантиметрах.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].weightDimensions.height	number	Высота товара в сантиметрах.
v2_campaigns_campaignId_stats_skus.yaml	RESPONSE	result.shopSkus[].weightDimensions.weight	number	Вес товара в килограммах.
